23712	2
12830	-3884.522118	-28182.8891
12834	-3786.24915	-28137.8701
12836	-3753.459781	-28138.13277
12838	-3718.0837880000004	-28189.50743
12840	-3683.588872	-28138.97829
12844	-3496.571589	-28226.562960000003
12846	-3490.517932	-28166.337819999997
12848	-3550.7325840000003	-28184.76015
12851	-3955.019187	-28199.86723
12853	-3985.178744	-28199.46952
12855	-3986.6094369999996	-28136.20086
12857	-3894.517522	-28182.849210000004
12859	-3884.0409200000004	-28136.833039999998
12861	-3867.0335229999996	-28191.37875
12863	-3849.4624289999997	-28137.16228
12865	-3727.593143	-28189.897869999997
12866	-3727.268249	-28189.42398
12869	-3717.674972	-28138.635060000004
12871	-3727.57967	-28188.950630000003
12873	-3656.8271950000003	-28189.857589999996
12875	-3550.531715	-28181.528960000003
12877	-3539.3464240000003	-28142.3095
12880	-3550.306232	-28184.98963
12882	-3825.5046899999998	-28160.53125
12884	-3817.5480049999996	-28137.41175
12886	-3501.708679	-28139.3391
12888	-3550.797789	-28140.086519999997
12892	-3569.808412	-28123.22874
12898	-3717.5361329999996	-28138.521269999997
12900	-3715.7060189999997	-28023.68053
12903	-3753.311803	-28137.94945
12905	-3786.1102579999997	-28137.748939999998
12910	-3817.4314630000003	-28137.29759
12914	-3849.578332	-28137.06623
12915	-3879.3607	-28136.98956
12918	-3884.190609	-28136.70961
12922	-3879.863151	-28139.67506
12924	-3918.318603	-28136.40288
12925	-3948.879906	-28135.95806
12928	-3952.3422659999997	-28135.83667
12929	-3985.7682240000004	-28135.484689999997
12934	-4003.953951	-28136.09226
12936	-4006.9821039999997	-28133.14526
12938	-4006.3708549999997	-28138.80387
12940	-3969.68244	-28057.6796
12942	-4016.395264	-28143.695010000003
12944	-3985.9350090000003	-28089.857999999997
12946	-3948.541146	-28133.536589999996
12948	-3952.0813340000004	-28096.87204
12950	-3917.895415	-28108.821060000002
12953	-3882.3298200000004	-28022.4226
12955	-3849.169056	-28116.652169999998
12957	-3816.874882	-28079.77855
12959	-3751.4515479999995	-28023.217969999998
12961	-3601.6002810000005	-28124.49595
12964	-3580.345052	-28123.16498
12966	-3581.4024630000004	-28122.55633
12968	-3581.0631350000003	-28124.29703
12970	-3848.5123399999998	-28072.753539999998
12972	-3857.20914	-28116.642160000003
12974	-3907.1395310000003	-28108.925410000003
12976	-3917.382921	-28074.36891
12978	-3984.240207	-28090.86501
12980	-3951.6921030000003	-28067.61477
12982	-3953.970836	-28096.66915
12984	-3505.02651	-28079.16908
12986	-3784.928593	-28075.07628
12988	-3805.804862	-28079.76487
12990	-3815.887603	-28022.69583
12992	-3970.353918	-28062.7118
12994	-3969.4537	-28061.56395
12996	-3967.974243	-28059.460469999998
12998	-3971.937957	-28061.50952
13001	-3958.559509	-28067.60662
13003	-3933.903397	-28074.29688
13005	-3933.9277	-28074.15665
13007	-3933.934233	-28074.438
13009	-3917.0915590000004	-28058.77684
13011	-3847.761089	-28022.18592
13013	-3841.1179799999995	-28072.83755
13015	-3784.256325	-28026.320880000003
13017	-3776.8058490000003	-28075.15388
13019	-3909.512103	-28058.83176
13021	-3909.312469	-28059.2054
13023	-3909.2868350000003	-28058.417530000002
13025	-3918.977814	-28026.03
13027	-3967.063813	-28058.22965
