12661	2
14624	-2770.355637	-28185.05255
14625	-2770.828072	-28186.44098
14627	-2777.323909	-28188.13206
14630	-3405.92578	-28173.70879
14631	-3407.953492	-28174.35342
14633	-3301.999266	-28174.2309
14634	-3303.03573	-28175.64818
14636	-3347.095964	-28173.30405
14638	-3265.012049	-28163.49212
14639	-3267.774865	-28162.21338
14641	-3266.924856	-28165.86208
14643	-2758.265099	-28171.70537
14644	-2759.661979	-28170.38245
14646	-2739.080312	-28163.31116
14681	-3073.43697	-28154.74157
14682	-3076.629541	-28163.99781
14684	-3054.979213	-28155.08798
14686	-3493.522893	-28158.67753
14687	-3451.026334	-28153.6261
14690	-3072.733921	-28148.21777
14691	-3073.44643	-28148.43608
14693	-3073.577566	-28148.32497
14695	-3015.933885	-28141.85885
14696	-3016.617177	-28141.81351
14698	-3016.786222	-28135.3676
14700	-2771.041286	-28141.37139
14701	-2771.09519	-28140.65794
14703	-2723.007198	-28135.30282
14731	-2987.901455	-28122.51825
14733	-2985.324815	-28122.34074
14735	-3309.380397	-28110.71554
14736	-3313.11285	-28095.04388
14738	-3305.547992	-28122.22538
14740	-3273.968281	-28113.50388
14741	-3274.705656	-28114.94819
14743	-3280.469566	-28116.14022
14745	-3261.664246	-28112.77966
14746	-3261.012995	-28112.17465
14748	-3260.798324	-28112.94254
14750	-3105.323693	-28112.20084
14751	-3098.028907	-28164.42533
14753	-3053.537876	-28108.92983
14755	-3016.27811	-28113.5992
14756	-3015.410627	-28107.07604
14758	-2955.442331	-28110.62321
14802	-2832.1692	-28098.92167
14803	-2843.201639	-28174.8346
14805	-2811.947234	-28097.34592
14807	-2886.349022	-28102.21543
14808	-2880.996511	-28102.00142
14810	-2895.435572	-28101.33122
14812	-2906.883185	-28103.6949
14814	-3003.797427	-28105.88536
14818	-3185.66006	-28095.30893
14819	-3192.809445	-28116.82655
14821	-3261.211986	-28009.85073
14823	-3413.459497	-28098.35442
14824	-3411.7103	-28100.14097
14826	-3411.869435	-28082.59989
14828	-3415.392537	-28100.42738
14830	-3389.509004	-28083.35999
14831	-3389.491237	-28041.04608
14834	-3227.858388	-28083.80508
14835	-3233.093285	-28074.50514
14837	-3260.732538	-28099.82919
14839	-2801.224073	-28096.1097
14871	-3132.299888	-28060.99007
14872	-3140.142962	-28106.26866
14874	-3109.198318	-28112.03116
14876	-3045.332783	-28048.68814
14877	-3044.553689	-28047.59769
14879	-3005.753004	-28050.42867
14882	-2970.031596	-28047.65306
14884	-2882.46843	-28051.92363
14886	-2885.510828	-28064.98855
14934	-3045.419988	-28046.52164
14937	-3365.906558	-28064.46589
14939	-3409.07199	-28039.83667
14982	-2772.695715	-28011.90187
14983	-2726.462328	-28006.59378
14985	-2760.061084	-27990.66962
14987	-2784.965932	-28010.05899
14988	-2784.531069	-28009.50502
14990	-2784.133034	-28009.59943
14992	-2784.090545	-28010.1488
14994	-3413.109808	-28014.60318
14995	-3411.174187	-28026.51143
14997	-3412.686998	-28013.80674
14999	-3410.900647	-27997.55221
15000	-3412.033411	-27995.67194
15002	-3411.810128	-27998.35526
15004	-3378.406572	-27998.29782
15005	-3332.912688	-27989.32275
15007	-3378.440386	-27990.446
15009	-3116.981163	-28003.24028
